ENROLLMENT,TUITION PAYMENT MARCH 2022,TUITION PAYMENT MARCH 2023,GENDER,TYPE OF EDUCATIONAL INSTITUTION,EDUCATIONAL INSTITUTION,INSTITUTION STATUS,DEPARTMENT,PROVINCE,DISTRICT,CLASSIFICATION,CAMPUS,FACULTY,PROGRAM/MAJOR,SHIFT/SCHEDULE,BENEFIT DISCOUNTS,STUDY MODE,AGE RANGE OF ENROLLED STUDENT,DISABILITY,NUMBER OF ENROLLED COURSES,AT-RISK COURSE
1,0,0,1,UNIVERSIDAD,UNIVERSIDADPERUANADECIENCIA,PRIVADA,14,98,268,1,6,3,24,0,4,0,4,0,2,0
1,0,0,2,,,,14,80,347,1,6,1,28,2,4,0,3,0,0,0
1,1,1,2,INSTITUTO,IDAT,PRIVADA,14,98,182,1,6,0,4,1,4,0,3,0,2,0
1,1,1,1,,,,14,113,395,1,6,6,50,0,4,0,4,0,4,0
1,1,1,2,,,,14,98,532,2,6,0,8,2,4,0,3,0,1,0
1,1,1,1,,,,14,98,308,1,6,0,4,0,4,0,4,0,1,0
1,0,0,1,,,,14,80,347,1,6,5,49,2,4,2,4,0,2,0
1,0,0,1,,,,6,24,68,0,6,6,61,2,4,0,3,0,0,0
1,0,0,1,,,,14,98,295,1,6,0,1,0,4,0,3,0,2,0
1,0,0,1,,,,14,98,660,1,6,6,50,1,4,0,3,0,2,0
1,0,0,1,,,,14,98,573,1,6,5,52,1,4,0,3,0,2,0
1,1,1,1,,,,14,16,47,1,6,0,4,2,4,0,4,0,2,0
1,0,0,1,INSTITUTO,IDAT,PRIVADA,14,98,492,1,6,6,40,0,4,2,3,0,1,0
1,0,0,2,INSTITUTO,IDAT,PRIVADA,14,28,329,0,6,0,74,2,4,0,3,0,2,0
1,1,1,2,,,,14,98,492,1,6,5,52,2,4,2,3,0,1,0
1,1,1,1,,,,14,98,32,1,6,5,56,2,4,0,3,0,1,0
1,1,1,1,,,,6,24,68,1,6,6,36,1,4,2,4,0,1,0
1,1,0,2,,,,14,81,307,1,6,0,4,0,4,0,3,0,3,3
1,1,1,1,,,,14,98,32,1,6,4,78,0,4,0,2,0,3,0
1,1,1,1,INSTITUTO,IDAT,PRIVADA,14,98,532,0,6,6,61,2,2,0,3,0,1,0
1,1,1,1,,,,14,98,256,2,6,2,23,2,4,2,2,0,2,0
1,1,1,2,,,,6,24,51,1,6,2,19,0,4,0,3,0,1,0
1,0,0,1,,,,14,98,659,1,6,6,57,1,4,0,3,0,2,0
1,1,1,2,,,,14,98,320,2,6,0,4,0,4,1,3,0,2,0
1,0,0,1,,,,14,81,205,1,6,0,0,2,4,2,3,0,2,0
1,0,0,1,,,,14,98,560,1,6,5,56,1,4,0,4,0,1,0
1,1,1,2,INSTITUTO,IDAT,PRIVADA,14,98,295,1,6,6,36,1,4,0,3,0,2,0
1,0,0,1,INSTITUTO,IDAT,PRIVADA,14,98,532,1,6,6,50,1,4,2,3,0,1,1
1,0,0,1,COLEGIO,TRILCE,PRIVADA,14,98,532,1,6,6,40,1,4,0,3,0,3,0
1,0,0,2,,,,14,98,532,1,6,5,52,0,4,0,3,0,1,0
